Date,Morning_Peak,Day_Peak,Evening_Peak
01-04-2024,21680,22516,21708
02-04-2024,22209,23030,22304
03-04-2024,22683,23504,22730
04-04-2024,22906,23520,22480
05-04-2024,22949,23134,22491
06-04-2024,22870,23558,22741
07-04-2024,22522,22723,21514
08-04-2024,22041,23192,22423
09-04-2024,22157,22569,20773
10-04-2024,21181,22632,22007
11-04-2024,21229,21191,20316
12-04-2024,20869,21352,20344
13-04-2024,19693,20959,21171
14-04-2024,20662,20937,20733
15-04-2024,21270,22873,22057
16-04-2024,22217,23062,22036
17-04-2024,22320,23573,21885
18-04-2024,21840,23304,22639
19-04-2024,22151,23407,22438
20-04-2024,22543,23078,21061
21-04-2024,21457,22226,20972
22-04-2024,21310,22884,21123
23-04-2024,21438,22846,21754
24-04-2024,20968,22618,21671
25-04-2024,21539,23047,22426
26-04-2024,21863,22468,21703
27-04-2024,21565,23520,22784
28-04-2024,22164,22619,21569
29-04-2024,21804,23757,22571
30-04-2024,22420,23456,22715
01-05-2024,21933,19498,19537
02-05-2024,20255,22289,21847
03-05-2024,21601,22312,22223
04-05-2024,21830,22683,22554
05-05-2024,22166,22037,21809
06-05-2024,21804,23589,23057
07-05-2024,22376,23040,21642
08-05-2024,21499,23247,22658
09-05-2024,21958,22104,21626
10-05-2024,21775,22069,20628
11-05-2024,21178,22223,20885
12-05-2024,19456,20700,19765
13-05-2024,19882,20354,19180
14-05-2024,19399,21174,19762
15-05-2024,19757,21439,21768
16-05-2024,20732,21382,18973
17-05-2024,19812,21163,20856
18-05-2024,20574,21752,21706
19-05-2024,21063,21549,19956
20-05-2024,20576,22057,20729
21-05-2024,20739,22334,21930
22-05-2024,21009,22859,21727
23-05-2024,21049,22346,21874
24-05-2024,21097,21889,22203
25-05-2024,21419,21716,21777
26-05-2024,21092,21383,19667
27-05-2024,20445,21786,21520
28-05-2024,21006,21865,22324
29-05-2024,21692,22603,22530
30-05-2024,21728,22769,22619
31-05-2024,22186,22688,22385
01-06-2024,22137,23237,22609
02-06-2024,22426,22408,21323
03-06-2024,21470,23021,21990
04-06-2024,21166,22749,20518
05-06-2024,20209,21144,20806
06-06-2024,20295,20993,20667
07-06-2024,19191,20694,20510
08-06-2024,18374,20313,19977
09-06-2024,18066,18680,18224
10-06-2024,16662,18677,19842
11-06-2024,17848,18611,19334
12-06-2024,17957,18508,19979
13-06-2024,18869,18463,19597
14-06-2024,18888,18301,19345
15-06-2024,18576,18700,20001
16-06-2024,18950,18467,19102
17-06-2024,18439,19146,19196
18-06-2024,18789,18842,19976
19-06-2024,19417,19127,19940
20-06-2024,19298,18984,19634
21-06-2024,19186,19131,19495
22-06-2024,18743,18839,19914
23-06-2024,18279,18378,18686
24-06-2024,18009,18438,20245
25-06-2024,19296,19182,20735
26-06-2024,19573,19564,20738
27-06-2024,19454,19369,19691
28-06-2024,18853,18801,19142
29-06-2024,18593,18687,19913
30-06-2024,18345,18494,18166
01-07-2024,18073,17997,18894
02-07-2024,18440,18139,18940
03-07-2024,18918,18746,20497
04-07-2024,19474,19246,20279
05-07-2024,19365,19287,20029
06-07-2024,19109,19214,19949
07-07-2024,18509,18853,18892
08-07-2024,18431,18945,19636
09-07-2024,18033,18231,19481
10-07-2024,18844,18564,20260
11-07-2024,19230,18856,19923
12-07-2024,19226,18985,19519
13-07-2024,18567,18675,19174
14-07-2024,17885,18031,17967
15-07-2024,18313,18480,19212
16-07-2024,18413,18469,19059
17-07-2024,18120,18713,18768
18-07-2024,18744,18506,19369
19-07-2024,18946,18626,19191
20-07-2024,18403,18553,18957
21-07-2024,17491,18014,17759
22-07-2024,17894,18013,18727
23-07-2024,18569,18404,18615
24-07-2024,18057,18171,18255
25-07-2024,17177,17365,17748
26-07-2024,17687,17733,18119
27-07-2024,17477,17734,18480
28-07-2024,17035,17662,17171
29-07-2024,18169,18185,18724
30-07-2024,18399,18177,19071
31-07-2024,18313,18212,19142
01-08-2024,18556,18373,18720
02-08-2024,18605,18398,18573
03-08-2024,18336,18343,18864
04-08-2024,17640,18163,17762
05-08-2024,18434,18267,19024
06-08-2024,18815,18729,19298
07-08-2024,19224,18958,19389
08-08-2024,19075,18833,19200
09-08-2024,19005,18967,18554
10-08-2024,18551,18741,18916
11-08-2024,18067,18082,18545
12-08-2024,19086,18876,19915
13-08-2024,19718,19364,20394
14-08-2024,20075,19778,20544
15-08-2024,19806,17055,17641
16-08-2024,18982,19354,20096
17-08-2024,19411,19524,19742
18-08-2024,18864,18975,19096
19-08-2024,18697,18658,17323
20-08-2024,18246,18103,19342
21-08-2024,18819,18429,19501
22-08-2024,19187,18518,19761
23-08-2024,18881,18527,18724
24-08-2024,17649,17520,18048
25-08-2024,16873,17074,17480
26-08-2024,17764,17499,18471
27-08-2024,17952,17672,18742
28-08-2024,18399,17868,19499
29-08-2024,18734,18235,19761
30-08-2024,18956,18460,19500
31-08-2024,18653,18506,19751
01-09-2024,17474,17982,17505
02-09-2024,17864,18358,17983
03-09-2024,18183,18330,19287
04-09-2024,18716,18506,19888
05-09-2024,18846,18749,19706
06-09-2024,18906,18652,19426
07-09-2024,18027,17660,17848
08-09-2024,17663,17923,18984
09-09-2024,18889,18877,19858
10-09-2024,19362,19507,19959
11-09-2024,19198,19282,19406
12-09-2024,19088,18629,19181
13-09-2024,19222,18828,19650
14-09-2024,19025,18768,20169
15-09-2024,18720,18963,18880
16-09-2024,18856,19261,19974
17-09-2024,19153,19079,18347
18-09-2024,19428,19724,19652
19-09-2024,19948,20313,18981
20-09-2024,19848,20765,19797
21-09-2024,19517,20325,19324
22-09-2024,18699,19244,19079
23-09-2024,19236,19061,19772
24-09-2024,18722,18684,19837
25-09-2024,18456,18599,18897
26-09-2024,18383,18361,19236
27-09-2024,18495,18278,19330
28-09-2024,18027,17414,19543
29-09-2024,17622,17183,19151
30-09-2024,18684,18072,20001
01-10-2024,19209,18700,20794
02-10-2024,19124,18991,20176
03-10-2024,19453,19294,20663
04-10-2024,20039,19288,21028
05-10-2024,19960,19551,21334
06-10-2024,19461,19363,19950
07-10-2024,20106,20003,21271
08-10-2024,20915,21058,21591
09-10-2024,20758,21091,20786
10-10-2024,20248,20222,20798
11-10-2024,19477,19382,19792
12-10-2024,18117,17047,17213
13-10-2024,17454,18747,19567
14-10-2024,18858,19237,20683
15-10-2024,19498,19360,20908
16-10-2024,19430,19473,21359
17-10-2024,19803,19581,21107
18-10-2024,19845,19598,20606
19-10-2024,19084,19244,20391
20-10-2024,17326,17773,19527
21-10-2024,18738,18325,20345
22-10-2024,19185,18775,20780
23-10-2024,19433,19120,21458
24-10-2024,19673,19099,21024
25-10-2024,19814,19070,20762
26-10-2024,19460,19387,21066
27-10-2024,19319,19302,20457
28-10-2024,19692,20838,21390
29-10-2024,20180,21586,21460
30-10-2024,20154,21480,21178
31-10-2024,19949,19936,19175
01-11-2024,18220,17773,16672
02-11-2024,17273,17886,17472
03-11-2024,17580,18129,17443
04-11-2024,17952,20112,19796
05-11-2024,19321,21181,20741
06-11-2024,19905,21647,21171
07-11-2024,20056,21707,21112
08-11-2024,20095,21817,21049
09-11-2024,20134,22051,21338
10-11-2024,19883,21635,20195
11-11-2024,20603,22437,21443
12-11-2024,20944,22491,21527
13-11-2024,21049,22455,21769
14-11-2024,21230,22851,21733
15-11-2024,21224,23389,21324
16-11-2024,21158,22964,21806
17-11-2024,20641,22654,20776
18-11-2024,21101,22694,21680
19-11-2024,21212,22998,21687
20-11-2024,20053,20755,18993
21-11-2024,20636,22517,21268
22-11-2024,21452,23042,21084
23-11-2024,21226,23159,21326
24-11-2024,20444,22749,20601
25-11-2024,21066,22630,21073
26-11-2024,21255,22906,21214
27-11-2024,21509,22838,21252
28-11-2024,21501,22840,21166
29-11-2024,21262,22591,21029
30-11-2024,21173,23064,21096
01-12-2024,20273,23001,19916
02-12-2024,21637,23692,21501
03-12-2024,22211,24208,21555
04-12-2024,21906,23813,22092
05-12-2024,22136,23667,21830
06-12-2024,21403,22714,21695
07-12-2024,21333,22586,21582
08-12-2024,20547,22506,20268
09-12-2024,21353,22138,21245
10-12-2024,21956,23144,21705
11-12-2024,22051,23449,21792
12-12-2024,22022,23219,21462
13-12-2024,21833,23293,21325
14-12-2024,21547,23407,21210
15-12-2024,20433,22752,20147
16-12-2024,21290,22786,21410
17-12-2024,22032,23549,21799
18-12-2024,22384,23787,21940
19-12-2024,22496,24105,21930
20-12-2024,22592,24033,21297
21-12-2024,22022,24156,21649
22-12-2024,21449,23969,20502
23-12-2024,22322,24108,21390
24-12-2024,22413,24405,21552
25-12-2024,22059,24495,21473
26-12-2024,22369,24374,21440
27-12-2024,21482,23441,20573
28-12-2024,20819,22451,21183
29-12-2024,20838,23178,20574
30-12-2024,21301,23208,21283
31-12-2024,21711,23433,21216
01-01-2025,20955,22791,20597
02-01-2025,21651,23500,21632
03-01-2025,22142,23426,21322
04-01-2025,21992,23720,21865
05-01-2025,21446,23856,20602
06-01-2025,22247,24270,21697
07-01-2025,23009,24480,22098
08-01-2025,22864,24196,22057
09-01-2025,22803,24199,21967
10-01-2025,22793,24360,21588
11-01-2025,22606,24860,21919
12-01-2025,22001,24222,20717
13-01-2025,22872,24889,21798
14-01-2025,23237,25605,21388
15-01-2025,23261,24999,21936
16-01-2025,23253,24704,21881
17-01-2025,23078,24726,21753
18-01-2025,22685,24645,21930
19-01-2025,22032,24246,20749
20-01-2025,22716,24366,22102
21-01-2025,23436,24713,22387
22-01-2025,23536,24901,22329
23-01-2025,23352,24815,22396
24-01-2025,23676,24915,22394
25-01-2025,23030,25140,22325
26-01-2025,22063,21665,19109
27-01-2025,22702,24800,22573
28-01-2025,23473,25081,22731
29-01-2025,23792,25073,22622
30-01-2025,23794,25346,22643
31-01-2025,23692,25054,22226
01-02-2025,22840,24868,22405
02-02-2025,22335,24539,21449
03-02-2025,23359,25027,22519
